Date,Time,PM1,PM2.5,RESP,PM10,TOTAL
1/3/2020,11:08:45,0.009,0.011,0.014,0.023,0.026
1/3/2020,11:10:45,0.009,0.011,0.013,0.019,0.026
1/3/2020,11:12:45,0.01,0.012,0.014,0.021,0.026
1/3/2020,11:14:45,0.011,0.013,0.016,0.022,0.034
1/3/2020,11:16:45,0.011,0.013,0.016,0.023,0.029
1/3/2020,11:18:45,0.012,0.015,0.018,0.026,0.034
1/3/2020,11:20:45,0.014,0.017,0.021,0.031,0.04
1/3/2020,11:22:45,0.015,0.019,0.023,0.03,0.036
1/3/2020,11:24:45,0.017,0.02,0.025,0.034,0.039
1/3/2020,11:26:45,0.016,0.02,0.024,0.032,0.036
1/3/2020,11:28:45,0.017,0.021,0.026,0.035,0.039
1/3/2020,11:30:45,0.017,0.021,0.026,0.035,0.044
1/3/2020,11:32:45,0.017,0.021,0.025,0.035,0.042
1/3/2020,11:34:45,0.018,0.021,0.026,0.036,0.043
1/3/2020,11:36:45,0.02,0.023,0.027,0.036,0.042
1/3/2020,11:38:45,0.021,0.024,0.028,0.037,0.046
1/3/2020,11:40:45,0.021,0.025,0.029,0.039,0.05
1/3/2020,11:42:45,0.021,0.025,0.029,0.039,0.045
1/3/2020,11:44:45,0.022,0.026,0.03,0.04,0.052
1/3/2020,11:46:45,0.023,0.027,0.032,0.044,0.053
1/3/2020,11:48:45,0.025,0.028,0.033,0.047,0.062
1/3/2020,11:50:45,0.024,0.028,0.032,0.047,0.058
1/3/2020,11:52:45,0.024,0.028,0.032,0.046,0.054
1/3/2020,11:54:45,0.023,0.027,0.031,0.045,0.05
1/3/2020,11:56:45,0.021,0.024,0.028,0.037,0.043
1/3/2020,11:58:45,0.023,0.027,0.031,0.041,0.048
1/3/2020,12:00:45,0.02,0.024,0.03,0.039,0.042
1/3/2020,12:02:45,0.018,0.022,0.027,0.036,0.04
1/3/2020,12:04:45,0.018,0.022,0.027,0.035,0.042
1/3/2020,12:06:45,0.019,0.023,0.028,0.036,0.04
1/3/2020,12:08:45,0.02,0.023,0.028,0.037,0.044
1/3/2020,12:10:45,0.021,0.024,0.028,0.038,0.046
1/3/2020,12:12:45,0.021,0.024,0.028,0.036,0.046
1/3/2020,12:14:45,0.023,0.026,0.029,0.037,0.041
1/3/2020,12:16:45,0.026,0.029,0.032,0.039,0.042
1/3/2020,12:18:45,0.022,0.026,0.029,0.037,0.04
1/3/2020,12:20:45,0.02,0.024,0.027,0.034,0.04
1/3/2020,12:22:45,0.02,0.023,0.027,0.033,0.042
1/3/2020,12:24:45,0.018,0.022,0.026,0.032,0.037
1/3/2020,12:26:45,0.017,0.02,0.024,0.032,0.044
1/3/2020,12:28:45,0.02,0.024,0.028,0.035,0.043
1/3/2020,12:30:45,0.02,0.024,0.029,0.039,0.045
1/3/2020,12:32:45,0.018,0.022,0.027,0.036,0.043
1/3/2020,12:34:45,0.02,0.024,0.029,0.04,0.049
1/3/2020,12:36:45,0.02,0.024,0.029,0.042,0.051
1/3/2020,12:38:45,0.03,0.034,0.039,0.049,0.058
1/3/2020,12:40:45,0.02,0.023,0.027,0.036,0.043
1/3/2020,12:42:45,0.025,0.029,0.033,0.045,0.051
1/3/2020,12:44:45,0.026,0.029,0.034,0.044,0.052
1/3/2020,12:46:45,0.021,0.024,0.028,0.038,0.049
